model,ours_percent,ours_episodes,reference_percent,reference_uncertainty,delta_pp,reference_variant,source
pi0.5-LIBERO,93.0,100,92.4,,0.6,released pi05_libero checkpoint,https://github.com/Physical-Intelligence/openpi/blob/main/examples/libero/README.md
pi0.5-base,0.0,100,,,,not reported zero-shot,
OpenVLA-7B,47.0,100,53.7,1.3,-6.7,OpenVLA fine-tuned LIBERO-Long,https://github.com/openvla/openvla
OpenVLA-OFT,96.0,100,94.5,,1.5,third-person+wrist+proprio,https://arxiv.org/abs/2502.19645
VLA-JEPA,98.0,100,95.8,,2.2,VLA-JEPA LIBERO-10,https://arxiv.org/abs/2602.10098
SmolVLA (0.45B),44.0,100,71.0,,-27.0,0.45B compact paper variant,https://arxiv.org/abs/2506.01844
pi0-FAST,87.0,100,60.2,,26.8,pi0-FAST LIBERO-10,https://arxiv.org/abs/2602.10098
